school,state,weirdreason
Georgia College and State University,GA,
Georgia Gwinnett College,GA,
Georgia Highlands College,GA,
Georgia Institute of Technology (Georgia Tech),GA,
Georgia Southern University,GA,
Georgia Southwestern State University (GSW),GA,
Georgia State University (GSU),GA,
Gordon State College,GA,
Kennesaw State University,GA,
Middle Georgia State University,GA,
University of North Georgia (UNG),GA,
Savannah State University,GA,
South Georgia State College (SGSC),GA,
Valdosta State University (VSU),GA,
University of West Georgia (UWG),GA,
University of Guam,GUAM,Guam isn't a state
University of Hawaii at Manoa (Hawaii or UH),HI,
University of Hawaii at Hilo,HI,
University of Hawaii at West Oahu,HI,
Boise State University (Boise State or BSU),ID,
University of Idaho (U of I or UI),ID,
Idaho State University (Idaho State or ISU),ID,
Lewis-Clark State College,ID,
Chicago State University (Chicago State),IL,
Eastern Illinois University (EIU),IL,
Governors State University,IL,
Illinois State University (Illinois State),IL,
University of Illinois at Urbana–Champaign,IL,
University of Illinois at Chicago (UIC),IL,
University of Illinois at Springfield (UI-Springfield),IL,
Northeastern Illinois University,IL,
Northern Illinois University (NIU),IL,
Southern Illinois University Carbondale (SIU),IL,
Southern Illinois University Edwardsville (SIUE),IL,
Western Illinois University-Quad Cities (WIU-QC),IL,
Ball State University,IN,
Indiana University Bloomington (Indiana or IU),IN,
Indiana University East,IN,
Indiana University Kokomo (IUK),IN,
Indiana University Northwest,IN,
Indiana University South Bend (IUSB),IN,
Indiana University Southeast,IN,
Indiana University – Purdue University Indianapolis (IUPUI),IN,IU appoints chancellor; joint academics with Purdue
Indiana University – Purdue University Columbus (IUPUC),IN,possibly same reason as IUPUI
Indiana State University (ISU),IN,
Purdue University,IN,
Indiana University – Purdue University Fort Wayne (IPFW),IN,Purdue appoints chancellor; joint academics with IU
Purdue University Northwest,IN,2016 Merger of Purdue University Calumet and Purdue University North Central
University of Southern Indiana (USI),IN,
University of Iowa (Iowa),IA,
Iowa State University (ISU),IA,
University of Northern Iowa (UNI),IA,
Emporia State University,KS,
Fort Hays State University,KS,
University of Kansas (Kansas or KU),KS,
Kansas State University (K-State or KSU),KS,
Pittsburg State University,KS,
Wichita State University,KS,
Eastern Kentucky University (EKU),KY,
University of Kentucky (Kentucky or UK),KY,
Kentucky State University,KY,
"University of Louisville (Louisville, U of L, or UL)",KY,
Morehead State University,KY,
Murray State University,KY,
Northern Kentucky University (NKU),KY,
Western Kentucky University (WKU),KY,
Louisiana State University and A&M College (LSU),LA,
Louisiana State University at Alexandria (LSU-Alexandria),LA,
Louisiana State University at Eunice (LSU-Eunice),LA,
Louisiana State University in Shreveport (LSU-Shreveport),LA,
Louisiana State University Health Sciences Center Shreveport,LA,
Louisiana State University Health Sciences Center New Orleans,LA,
Paul M. Hebert Law Center,LA,
Grambling State University (GSU),LA,
Louisiana Tech University (Louisiana Tech or La Tech),LA,
McNeese State University (MSU),LA,
Nicholls State University,LA,
Northwestern State University (NSULA),LA,
Southeastern Louisiana University (SELU),LA,
University of Louisiana at Lafayette (UL Lafayette),LA,
University of Louisiana at Monroe (ULM),LA,
Southern University,LA,
Southern University at New Orleans (SUNO),LA,
Southern University at Shreveport (SUSLA),LA,
Maine Maritime Academy,MA,
University of Maine,MA,
University of Maine Law School,MA,
"University of Maine at Augusta (UMaine Augusta, UM-Augusta, or UMA)",MA,
"University of Maine at Farmington (UMaine Farmington, UM-Farmington, or UMF)",MA,
"University of Maine at Fort Kent (UMaine Fort Kent, UM-Fort Kent, or UMFK)",MA,
"University of Maine at Machias (UMaine Machias, UM-Machias, or UMM, pronounced ""UM M"")",MA,
"University of Maine at Presque Isle (UMaine Presque Isle, UM-Presque Isle, or UMPI, pronounced ""UM PI"")",MA,
University of Southern Maine (Southern Maine or USM),MA,
Morgan State University,ME,
St. Mary's College of Maryland,ME,
"University of Maryland, College Park (Maryland, UMCP, or UMD)",MD,
Virginia–Maryland College of Veterinary Medicine (VMRCVM),MD,
Bowie State University,MD,
Coppin State University,MD,
Frostburg State University,MD,
Salisbury University,MD,
Towson University (Towson),MD,
University of Baltimore (UB),MD,
"University of Maryland, Baltimore (UM Baltimore or UMB)",MD,
"University of Maryland, Baltimore County (UMBC)",MD,
University of Maryland Eastern Shore (UMES),MD,
University of Maryland University College (UMUC),MD,
University of Maryland Center for Environmental Science,MD,
University of Maryland Biotechnology Institute,MD,
University of Massachusetts Amherst (UMass Amherst),MA,
University of Massachusetts Boston (UMass Boston),MA,
University of Massachusetts Dartmouth (UMass Dartmouth),MA,
University of Massachusetts Lowell (UMass Lowell),MA,
University of Massachusetts Medical School,MA,
Bridgewater State University,MA,
Fitchburg State University,MA,
Framingham State University,MA,
Salem State University,MA,
Westfield State University,MA,
Worcester State University,MA,
